S.no,Constituency,Party,Majority,latitude,longitude
47,Kolhapur,SS,"2,70,568",16.7028412,74.2405329
48,Hatkanangle,SS,"96,039",16.7445098,74.37531751
1,Inner Manipur,BJP,"17,755",24.7122,93.8655
2,Outer Manipur,Other,"73,782",20.9030639,86.2210976
1,Shillong,INC,"1,52,433",25.5760446,91.8825282
2,Tura,Other,"64,030",25.517377,90.2066783
1,Mizoram,Other,"8,140",23.2146169,92.8687612
1,Nagaland,Other,"16,344",26.1630556,94.5884911
1,Bargarh,BJP,"63,939",21.3474637,83.65427922
2,Sundargarh,BJP,"2,23,065",22.25,84.5
3,Sambalpur,BJP,"9,162",21.4,83.883333
4,Keonjhar,BJD,"66,203",21.5,85.5
5,Mayurbhanj,BJP,"25,256",21.75,86.5
6,Balasore,BJP,"12,956",21.5002888,86.9202627
7,Bhadrak,BJD,"28,803",21.0633288,86.5053731
8,Jajpur,BJD,"1,01,693",20.8522696,86.3385714
9,Dhenkanal,BJD,"35,412",20.75,85.5
10,Bolangir,BJP,"19,516",20.3575202,83.27189643
11,Kalahandi,BJP,"26,814",19.75,83
12,Nabarangpur,BJD,"41,634",19.228896,82.5665715
13,Kandhamal,BJD,"1,49,216",20.13069385,84.07904761
14,Cuttack,BJD,"1,21,201",20.4686,85.8792
15,Kendrapara,BJD,"1,52,584",20.50040085,86.43170623
16,Jagatsinghpur,BJD,"2,71,655",20.2593872,86.1660878
17,Puri,BJD,"11,714",19.8076083,85.8252538
18,Bhubaneswar,BJP,"23,839",20.2667774,85.8435592
19,Aska,BJD,"2,04,707",19.60609,84.6724892
20,Berhampur,BJD,"94,844",21.49308515,86.63272983
21,Koraput,INC,"3,613",18.7232023,82.60811828
1,Puducherry,INC,"1,97,025",11.9340568,79.8306447
1,Gurdaspur,BJP,"82,459",31.9042299,75.22738141
2,Amritsar,INC,"99,626",31.6343083,74.8736788
3,Khadoor Sahib,INC,"1,40,573",31.4241739,75.0982026
4,Jalandhar,INC,"19,491",31.29201065,75.56805772
5,Hoshiarpur,BJP,"48,530",31.60857425,75.84644247
6,Anandpur Sahib,INC,"46,884",31.2346773,76.4973104
7,Ludhiana,INC,"76,372",30.9090157,75.851601
8,Fatehgarh Sahib,INC,"93,898",30.6600764,76.38002164
9,Faridkot,INC,"83,256",30.60092505,74.79477423
10,Ferozpur,Other,"1,98,850",30.598744,74.2032581
11,Bathinda,Other,"21,772",30.17911535,75.04710156
12,Sangrur,AAP,"1,10,211",30.2093363,75.81842243
13,Patiala,INC,"1,62,718",30.2090874,76.33987209
1,Ganganagar,BJP,"4,06,978",23.7497214,91.87663495
2,Bikaner,BJP,"2,64,081",28.0159286,73.3171367
3,Churu,BJP,"3,34,402",28.2061443,74.6919073
4,Jhunjhunu,BJP,"3,02,547",28.1287995,75.3992581
5,Sikar,BJP,"2,97,156",27.662826,75.02792629
6,Jaipur Rural,BJP,"3,93,171",26.916194,75.820349
7,Jaipur,BJP,"4,30,626",26.916194,75.820349
8,Alwar,BJP,"3,29,971",27.63907705,76.61445249
9,Bharatpur,BJP,"3,18,399",27.26521245,77.36912555
10,KarauliDholpur,BJP,"97,682",26.6966,77.8908
11,Dausa,BJP,"78,444",26.80486585,76.4437457
12,TonkSawai Madhopur,BJP,"1,11,291",25.983334,76.366669
13,Ajmer,BJP,"4,16,424",26.4691,74.639
14,Nagaur,Other,"1,81,260",27.0607859,74.17667538
15,Pali,BJP,"4,81,597",25.6040908,73.41560879
16,Jodhpur,BJP,"2,74,440",26.2967719,73.0351433
17,Barmer,BJP,"3,23,808",25.5819034,71.61966243
18,Jalore,BJP,"2,61,110",25.3476006,72.6260916
19,Udaipur,BJP,"4,37,914",24.578721,73.6862571
20,Banswara,BJP,"3,05,464",23.4930788,74.34840231
21,Chittorgarh,BJP,"5,76,247",24.718026,74.47214697
22,Rajsamand,BJP,"5,51,916",25.29131615,73.82449247
23,Bhilwara,BJP,"6,12,000",25.48877345,74.69961284
24,Kota,BJP,"2,79,677",25.1968256,76.00089331
25,JhalawarBaran,BJP,"4,53,928",25.1011,76.5132
1,Sikkim,Other,"12,433",27.601029,88.45413639
1,Thiruvallur,INC,"3,56,955",13.13014755,79.92435386
2,Chennai North,DMK,"4,61,518",13.0801721,80.2838331
3,Chennai South,DMK,"2,62,223",13.0801721,80.2838331
4,Chennai Central,DMK,"3,01,520",13.0801721,80.2838331
5,Sriperumbudur,DMK,"5,07,955",12.9201301,79.93910564
6,Kancheepuram,DMK,"2,86,632",12.87960515,79.70427615
7,Arakkonam,DMK,"3,28,956",13.0841402,79.6703816
8,Vellore,BJP,"43,211",12.7948109,79.0006411
9,Krishnagiri,INC,"1,56,765",12.5188835,78.2206536
10,Dharmapuri,DMK,"70,753",12.09680475,78.19304301
11,Tiruvannamalai,DMK,"3,04,187",12.22721295,79.07015555
12,Arani,INC,"2,30,806",12.68622945,79.29924436
13,Viluppuram,DMK,"1,28,068",11.9137874,79.50789298
14,Kallakurichi,DMK,"3,99,919",11.79468465,79.03882106
15,Salem,DMK,"1,46,926",11.6612012,78.1602498
16,Namakkal,DMK,"2,65,151",11.2191319,78.23739802
17,Erode,DMK,"2,10,618",11.3692044,77.67662687
18,Tiruppur,Other,"93,368",10.78322705,77.5260478
19,Nilgiris,DMK,"2,05,823",11.4,76.7
20,Coimbatore,Other,"1,79,143",11.0018115,76.9628425
21,Pollachi,DMK,"1,75,883",10.66942235,77.01017959
22,Dindigul,DMK,"5,38,972",10.3303299,78.06739791
23,Karur,INC,"4,20,546",10.9301522,78.08485455
24,Tiruchirappalli,INC,"4,59,286",10.804973,78.6870296
25,Perambalur,DMK,"4,03,518",11.2287716,78.81825555
26,Cuddalore,DMK,"1,43,983",11.74269375,79.75030644
27,Chidambaram,Other,"3,219",11.41018075,79.67222018
28,Mayiladuthurai,DMK,"2,61,314",11.1551822,79.62739426
29,Nagapattinam,Other,"2,11,353",10.8056276,79.82465978
30,Thanjavur,DMK,"3,68,129",10.7860267,79.1381497
31,Sivaganga,INC,"3,32,244",9.851231,78.53047155
32,Madurai,Other,"1,39,395",9.9261153,78.1140983
33,Theni,Other,"76,693",9.9696643,77.47420049
34,Virudhunagar,INC,"1,54,554",9.5208936,77.8784564
35,Ramanathapuram,Other,"1,27,122",9.3895523,78.85907072
36,Thoothukkudi,DMK,"3,47,209",8.7567452,78.07975266
37,Tenkasi,DMK,"1,20,286",9.09407535,77.4758369
38,Tirunelveli,DMK,"1,85,457",8.8082342,77.8114843
39,Kanyakumari,INC,"2,59,933",8.079252,77.5499338
1,Adilabad,BJP,"58,560",19.5,78.5
2,Peddapalli,TRS,"95,180",18.62065305,79.49501711
3,Karimnagar,BJP,"89,508",18.4346438,79.1322648
4,Nizamabad,BJP,"70,875",26.05531795,82.99313868
5,Zahirabad,TRS,"6,229",17.6758253,77.6106926
6,Medak,TRS,"3,16,427",17.9375095,78.21174499
7,Malkajgiri,INC,"10,919",17.4483438,78.5289727
8,Secunderabad,BJP,"62,114",17.4690889,78.5059176
9,Hyderabad,AIMM,"2,82,186",17.38878595,78.46106473
10,Chevella,TRS,"14,317",17.9376421,77.9117316
11,Mahbubnagar,TRS,"77,829",16.7434538,77.9923191
12,Nagarkurnool,TRS,"1,89,748",16.41576265,78.68304333
13,Nalgonda,INC,"25,682",16.8579636,79.21749353
14,Bhongir,INC,"5,219",17.5172789,78.8863383
15,Warangal,TRS,"3,50,298",17.9806094,79.5982115
16,Mahabubabad,TRS,"1,46,663",17.7138983,80.04134253
17,Khammam,TRS,"1,68,062",17.5,80.333333
1,Tripura West,BJP,"3,05,689",23.7750823,91.7025091
2,Tripura East,BJP,"2,04,290",23.7750823,91.7025091
1,Saharanpur,BSP,"22,417",29.9880774,77.50812995
2,Kairana,BJP,"92,160",29.4827179,77.19151993
3,Muzaffarnagar,BJP,"6,526",29.44800635,77.74068503
4,Bijnor,BSP,"69,941",29.40604895,78.4808784
5,Nagina,BSP,"1,66,832",29.538422,78.51514669
6,Moradabad,SP,"97,878",28.8638424,78.80577833
7,Rampur,SP,"1,09,997",28.79406825,79.18593045
8,Sambhal,SP,"1,74,826",28.61875255,78.55087405
9,Amroha,BSP,"63,248",28.9233969,78.48831693
10,Meerut,BJP,"4,729",28.916667,77.683333
11,Baghpat,BJP,"23,502",28.97240405,77.33315285
12,Ghaziabad,BJP,"5,01,500",28.711241,77.4445372
13,Gautam Buddh Nagar,BJP,"3,36,922",28.3383,77.6078
14,Bulandshahr,BJP,"2,90,057",28.38886085,77.97479773
15,Aligarh,BJP,"2,29,261",27.87698975,78.13729028
16,Hathras,BJP,"2,60,208",27.57324325,78.11173867
17,Mathura,BJP,"2,93,471",27.633333,77.583333
18,Agra,BJP,"2,11,546",27.1752554,78.0098161
19,Fatehpur Sikri,BJP,"4,95,065",27.0911655,77.6623984
20,Firozabad,BJP,"28,781",27.17736635,78.38991198
